Date,GLD,MDY,QQQ,SPY,TLT,VBR,VTV,PSQ
1/3/2007,62.28,147.09,43.24001,141.37,89.07001,71.3,68.02,252.08
1/4/2007,61.64999,147.25999,44.06,141.67,89.60001,71.28,67.81,246.59996
1/5/2007,60.17,145.33,43.85001,140.53999,89.22,69.95,67.28999,248.59996
1/8/2007,60.48,145.62,43.88,141.19,89.37,70.10001,67.53,247.71996
1/9/2007,60.85001,146.45,44.10001,141.07001,89.37,70.33,67.46001,246.71996
1/10/2007,60.59,147.46001,44.62,141.53999,88.97,70.36,67.31,243.71996
1/11/2007,60.63,148.28,45.08,142.16,88.45,71.19,67.75999,241.2
1/12/2007,62.17,149.86,45.31,143.24001,88.03999,71.5,67.98,239.76
1/16/2007,61.97,148.86,45.28,142.96001,88.2,71.34,67.92,240.2
1/17/2007,62.64,149.13,44.91,143.02,87.96001,71.19,68.02,242.3596
1/18/2007,62.25999,147.77,44.08,142.53999,88.23,70.66,67.96001,247.03996
1/19/2007,63,148.5,44.17,142.82001,87.99001,71.09,68.25,247.40004
1/22/2007,62.72,148.08,43.69,142.38,88.2,70.66,67.92999,249.96004
1/23/2007,64.23,148.88,43.58,142.8,87.62,71.24001,68.24001,250.44
1/24/2007,64.33,150.45,44.3,143.95,87.61,71.97,68.57001,246.32
1/25/2007,64.06,149.09,43.73,142.25999,86.98,71.19,68.10001,249.88
1/26/2007,64.10001,149.25,43.57001,142.16,86.91,71.38,68.10001,250.8
1/29/2007,63.77,150.14,43.61,142.05,86.72,71.92,67.92999,250.56
1/30/2007,64.22,150.73,43.63,142.78999,86.82001,72.39999,68.41,250.15996
1/31/2007,64.83,151.52,44.07001,143.75,87.55,72.53,68.75999,248.24
2/1/2007,65.22,153.16,44.02,144.61,87.09,73.24001,69.35001,249.12
2/2/2007,64.28,153.3,44.16,144.81,87.2,73.46001,69.50999,247.8
2/5/2007,64.31,153.83,44.12,144.85001,87.32001,73.21001,69.46001,247.80156
2/6/2007,64.78999,154.36,44.05,144.89,87.8,73.8,69.60001,248.40004
2/7/2007,64.63,155.2,44.46001,145.21001,88.06,74.19,69.61,245.03996
2/8/2007,65.52,155.08,44.45,145.02,88.13,74.23,69.44,245.92
2/9/2007,66.12,154.41,43.84,143.94,87.63,73.67,69.08,249.48
2/12/2007,65.67,153.59,43.7,143.45,87.42999,73.28,68.75,250.8
2/13/2007,65.84,154.98,43.86,144.66,87.24001,74.06,69.524,249.56
2/14/2007,66.37,156.08,44.60001,145.61,88.07001,74.00999,69.96001,245.68
2/15/2007,66.41,156.11,44.86,145.8,88.33,74.13,69.95,244.48
2/16/2007,66.36,156.41,44.71001,145.73,88.64,74.35001,69.95,244.71996
2/20/2007,65.31,157.45,45.05,146.03999,88.84,74.85001,70.10001,243.32
2/21/2007,67.28,157.88,45.19,145.98,88.69,74.94,69.95,242.52
2/22/2007,67.14999,158.62,45.42,145.87,88.21001,75.06,69.84,241.44
2/23/2007,67.72,158.02,45.25999,145.3,88.84,74.61,69.58,242.45
2/26/2007,68.10001,157.89999,45.03999,145.17,89.42999,74.41,69.67999,243.92
2/27/2007,65.41,152.14,43.19,139.5,90.56,71.5,67.11,255.15996
2/28/2007,66.48,153.14999,43.33,140.92999,90.14999,72.10001,67.67,253.68
3/1/2007,65.82001,152.56,43.13,140.50999,89.74001,71.97,67.53999,255.48
3/2/2007,63.71001,149.86,42.48,138.67,90.2,70.74001,66.77,259.08
3/5/2007,62.92999,146.81,42.14999,137.35001,90.35001,69.27,66.10001,261.40004
3/6/2007,64.14999,149.45,42.85001,139.7,90.08,70.75,67.10001,257.11964
3/7/2007,64.3,150.28999,42.67999,139.56,90.42999,70.61,66.97,258.03996
3/8/2007,64.48,151.77,42.97,140.74001,90.35001,71.14999,67.39999,255.84004
3/9/2007,64.25,152.05,42.92999,140.78,89.39999,71.37,67.53999,256.59996
3/12/2007,64.37,152.50999,43.21001,140.99001,89.75,71.66991,67.63,254.92
3/13/2007,63.72,149.78999,42.37,138.25,90.28999,69.95,66.34,259.92
3/14/2007,63.94,150.42999,42.99001,139.28,89.88,70.5,66.64999,256.48
3/15/2007,63.98,151.09,42.89,139.47,89.87,71.209,67.03999,256.96004
3/16/2007,64.62,149.73,42.83,138.53,89.85001,70.82001,66.71001,257.48
3/19/2007,64.74001,151.39999,43.27,140.2,89.66,71.50999,67.39999,254.8
3/20/2007,65.27,152.49001,43.58,140.97,89.71001,72.10001,67.91,253.28004
3/21/2007,65.82001,154.67,44.42,143.28999,89.75,73.3,69.13,248.12
3/22/2007,65.75999,155.17999,44.25999,143.17999,89.03999,73.24001,69.23,248.68
3/23/2007,65.14999,155.60001,44.12,143.39,88.78999,73.3,69.35001,249.11964
3/26/2007,65.84,155.08,44.3,143.2,88.89999,73.22,68.84,248.71996
3/27/2007,65.7,154.99001,43.99001,142.86,88.75,72.78999,68.7,248.03996
3/28/2007,66.05,154.3,43.52,141.82001,88.57001,72.25999,68.27,250.88
3/29/2007,65.64999,153.82001,43.57001,141.97,88.45,72.45,68.52,250.76
3/30/2007,65.74001,154.57001,43.53,142,88.28,72.5,68.39,251.3196
,,,,,,,,
