,GLD,MDY,PSQ,QQQ,SPY,TLT,VBR,VTV
2007-01-03,0.0,0.1449,0.0,0.33132,0.24447,0.0,0.17078,0.10853
2007-03-30,0.0,0.1449,0.0,0.33132,0.24447,0.0,0.17078,0.10853
2007-06-29,0.73445,0.0,0.0,0.20964,0.0,0.0559,0.0,0.0
2007-09-28,0.84619,0.0,0.05571,0.0,0.0,0.09811,0.0,0.0
2008-01-02,0.3861,0.42938,0.0,0.18452,0.0,0.0,0.0,0.0
2008-03-28,0.3861,0.42938,0.0,0.18452,0.0,0.0,0.0,0.0
2008-06-30,0.0,0.0,0.81994,0.0,0.0,0.1294,0.05066,0.0
2008-09-30,0.15903,0.0,0.26572,0.0,0.0,0.57524,0.0,0.0
2009-01-02,0.0,0.18224,0.0,0.16955,0.20164,0.0,0.34977,0.09679
2009-03-30,0.0,0.18224,0.0,0.16955,0.20164,0.0,0.34977,0.09679
2009-06-30,0.08505,0.17094,0.0,0.1287,0.16744,0.03426,0.31962,0.09398
2009-09-30,0.34166,0.12999,0.0,0.22841,0.11437,0.0,0.12573,0.05985
2010-01-04,0.45753,0.0,0.27846,0.0,0.0,0.26402,0.0,0.0
2010-03-30,0.45753,0.0,0.27846,0.0,0.0,0.26402,0.0,0.0
2010-06-30,0.09741,0.17009,0.0,0.20324,0.17295,0.04394,0.23748,0.07489
2010-09-30,0.17899,0.19238,0.0,0.14151,0.14637,0.0,0.25533,0.08542
2011-01-03,0.9147,0.0,0.0,0.0,0.0,0.0853,0.0,0.0
2011-03-30,0.9147,0.0,0.0,0.0,0.0,0.0853,0.0,0.0
2011-06-30,0.17946,0.0,0.13832,0.0,0.0,0.68222,0.0,0.0
2011-09-30,0.0,0.19656,0.0,0.09002,0.2264,0.02407,0.33025,0.13269
2012-01-03,0.0,0.0,0.22863,0.0,0.0,0.77137,0.0,0.0
2012-03-30,0.0,0.0,0.22863,0.0,0.0,0.77137,0.0,0.0
2012-06-29,0.47732,0.07543,0.0,0.14059,0.07485,0.0,0.1533,0.0785
2012-09-28,0.0,0.53435,0.27532,0.0,0.0,0.0,0.19033,0.0
2013-01-02,0.0,0.02145,0.0,0.25359,0.26979,0.0,0.28609,0.16908
2013-03-28,0.0,0.02145,0.0,0.25359,0.26979,0.0,0.28609,0.16908
2013-06-28,0.2389,0.16956,0.0,0.25041,0.09721,0.0,0.22557,0.01834
2013-09-30,0.0,0.1251,0.0,0.23407,0.26365,0.0,0.24353,0.13365
2014-01-02,0.14517,0.08743,0.0,0.20849,0.17431,0.09872,0.2168,0.06908
2014-03-28,0.14517,0.08743,0.0,0.20849,0.17431,0.09872,0.2168,0.06908
2014-06-30,0.0,0.0,0.0,0.61049,0.11969,0.26982,0.0,0.0
2014-09-30,0.0,0.12242,0.0,0.1259,0.19466,0.21778,0.25817,0.08107
2015-01-02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-03-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-06-30,0.0,0.0,0.50493,0.0,0.0,0.49507,0.0,0.0
2015-09-30,0.0,0.0,0.0,0.4022,0.31723,0.0,0.09422,0.18636
2016-01-04,0.49079,0.08484,0.0,0.0,0.00253,0.18359,0.16239,0.07585
2016-03-30,0.49079,0.08484,0.0,0.0,0.00253,0.18359,0.16239,0.07585
2016-06-30,0.0,0.1265,0.0,0.39501,0.18786,0.0,0.25168,0.03895
2016-09-30,0.0,0.26302,0.0,0.0,0.1452,0.0,0.44033,0.15145
2017-01-03,0.0,0.01682,0.0,0.30359,0.26127,0.30983,0.05829,0.0502
2017-03-30,0.0,0.01682,0.0,0.30359,0.26127,0.30983,0.05829,0.0502
2017-06-30,0.13928,0.10206,0.0,0.21201,0.19664,0.0,0.25615,0.09386
2017-09-29,0.08064,0.1044,0.0,0.21851,0.22234,0.06607,0.16442,0.14362
2018-01-02,0.0,0.17608,0.0,0.28965,0.20893,0.01105,0.28904,0.02524
2018-03-29,0.0,0.17608,0.0,0.28965,0.20893,0.01105,0.28904,0.02524
2018-06-29,0.0,0.03708,0.0,0.30154,0.33578,0.0,0.14287,0.18272
2018-09-28,0.3614,0.0,0.54546,0.0,0.0,0.09314,0.0,0.0
2019-01-02,0.63621,0.0,0.0,0.09468,0.00748,0.17596,0.02732,0.05835
2019-03-29,0.63621,0.0,0.0,0.09468,0.00748,0.17596,0.02732,0.05835
2019-06-28,0.56282,0.0,0.0,0.00755,0.0,0.41149,0.0,0.01814
2019-09-30,0.05743,0.10675,0.0,0.2767,0.23747,0.0,0.21071,0.11094
2020-01-02,0.08016,0.20651,0.0,0.24438,0.17561,0.0,0.2614,0.03193
2020-03-30,0.08016,0.20651,0.0,0.24438,0.17561,0.0,0.2614,0.03193
2020-06-30,0.16778,0.04446,0.0,0.32305,0.24721,0.00438,0.13674,0.07637
2020-09-30,0.0,0.27546,0.0,0.10133,0.14809,0.0,0.41062,0.0645
2021-01-04,0.07577,0.0,0.0,0.29929,0.26284,0.14579,0.15822,0.05808
2021-03-30,0.07577,0.0,0.0,0.29929,0.26284,0.14579,0.15822,0.05808
2021-06-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-30,0.06693,0.08778,0.0,0.21904,0.25972,0.06076,0.18361,0.12216
